SOL7jk, WGCSE
101																													
IRL-VMS: nos per 1000 hours
2006	2017								
1	1	0	1						
2	16								
1	172	390	398	369	506	239	210	145	81	52	18	9	19	17	115	#2006
1	14	591	480	405	597	569	276	214	136	58	56	17	44	14	44	#2007
1	19	412	1495	711	358	339	417	176	131	80	47	54	33	24	65	#2008
1	4	223	578	1150	472	254	249	238	95	92	83	15	12	0	49	#2009
1	64	624	638	695	609	177	113	117	113	79	86	38	39	3	61	#2010
1	10	343	919	654	463	462	191	118	119	107	97	62	32	14	119	#2011
1	9	145	612	901	427	394	335	125	115	86	105	70	42	33	89	#2012
1	4	155	536	1224	1067	563	313	248	131	70	77	45	39	42	62	#2013
1	25	361	477	640	1075	901	363	202	146	66	49	44	26	36	49	#2014
1	45	627	1094	591	703	901	681	369	173	158	75	57	36	37	68	#2015
1	104	407	1179	1343	740	604	588	461	224	188	107	54	46	25	101	#2016
1	22	712	483	983	904	389	259	262	170	112	57	70	26	15	51	#2017
