Mean Weight in Catch (kilograms)							
1 3							
1984 2017							
1 9							
1
0.06	0.183	0.213	0.257	0.294	0.297	0.28	0.321	0.368
0.06	0.174	0.234	0.283	0.291	0.335	0.292	0.279	0.364
0.06	0.165	0.231	0.287	0.297	0.409	0.267	0.262	0.383
0.06	0.16	0.194	0.245	0.274	0.319	0.36	0.417	0.361
0.06	0.159	0.197	0.235	0.251	0.335	0.348	0.363	0.352
0.06	0.176	0.221	0.255	0.266	0.271	0.352	0.3		0.355
0.06	0.18	0.228	0.251	0.308	0.333	0.4		0.547	0.555
0.06	0.174	0.229	0.275	0.292	0.346	0.309	0.386	0.503
0.06	0.213	0.252	0.336	0.412	0.43	0.491	0.566	0.622
0.06	0.178	0.224	0.274	0.328	0.374	0.403	0.388	0.474
0.06	0.174	0.229	0.28	0.342	0.388	0.445	0.448	0.394
0.06	0.187	0.2		0.248	0.291	0.351	0.382	0.432	0.383
0.06	0.176	0.218	0.267	0.307	0.339	0.404	0.457	0.664
0.06	0.198	0.272	0.296	0.308	0.345	0.359	0.364	0.361
0.06	0.161	0.219	0.316	0.322	0.35	0.358	0.377	0.327
0.06	0.162	0.232	0.304	0.368	0.36	0.378	0.397	0.35
0.06	0.169	0.236	0.304	0.344	0.319	0.364	0.352	0.328
0.06	0.184	0.242	0.29	0.378	0.346	0.308	0.362	0.281
0.06	0.172	0.205	0.294	0.373	0.386	0.214	0.292	0.276
0.06	0.174	0.21	0.246	0.36	0.382	0.431	0.261	0.382
0.06	0.203	0.237	0.291	0.328	0.371	0.401	0.37	0.315
0.06	0.192	0.223	0.3		0.324	0.367	0.371	0.421	0.372
0.06	0.201	0.215	0.263	0.317	0.339	0.321	0.293	0.344
0.06	0.211	0.228	0.295	0.302	0.354	0.339	0.38	0.244
0.06	0.215	0.246	0.267	0.28	0.29	0.296	0.301	0.246
0.06	0.211	0.259	0.301	0.319	0.403	0.439	0.439	0.263
0.06	0.258	0.27	0.283	0.324	0.311	0.369	0.31	0.263
0.06	0.261	0.271	0.292	0.277	0.358	0.476	0.285	0.301
0.06	0.285	0.279	0.317	0.375	0.406	0.406	0.35	0.406
0.06	0.239	0.225	0.276	0.304	0.373	0.305	0.306	0.287	
0.06	0.227	0.283	0.372	0.421	0.443	0.486	0.454	0.406 
0.06	0.221	0.239	0.286	0.391	0.404	0.388	0.501	0.434
0.18    0.234   0.267   0.268   0.283   0.341   0.330   0.544   0.439 
0.18    0.216   0.265   0.292   0.299   0.326   0.377   0.334   0.395 
